data,cena_max_pb95,cena_max_pb98,cena_max_on
2026-07-01,6.0,6.68,6.19
2026-06-30,6.0,6.68,6.19
2026-06-29,6.02,6.7,6.17
2026-06-28,6.02,6.7,6.17
2026-06-27,6.02,6.7,6.17
2026-06-26,5.95,6.65,6.12
2026-06-25,5.96,6.67,6.11
2026-06-24,5.97,6.68,6.11
2026-06-23,5.98,6.69,6.11
2026-06-22,5.94,6.61,6.12
2026-06-21,5.94,6.61,6.12
2026-06-20,5.94,6.61,6.12
2026-06-19,6.0,6.66,6.2
2026-06-18,6.06,6.72,6.36
2026-06-17,6.1,6.75,6.44
2026-06-16,5.97,6.52,6.37
2026-06-15,6.04,6.58,6.4
2026-06-14,6.04,6.58,6.4
2026-06-13,6.04,6.58,6.4
2026-06-12,5.98,6.55,6.37
2026-06-11,5.92,6.56,6.43
2026-06-10,5.96,6.61,6.46
2026-06-09,5.93,6.57,6.45
2026-06-08,6.0,6.63,6.48
2026-06-07,6.0,6.63,6.48
2026-06-06,6.0,6.63,6.48
2026-06-05,5.94,6.52,6.4
2026-06-04,5.94,6.52,6.4
2026-06-03,5.95,6.54,6.4
2026-06-02,5.95,6.54,6.26
2026-06-01,6.05,6.63,6.34
2026-05-31,6.05,6.63,6.34
2026-05-30,6.05,6.63,6.34
2026-05-29,6.16,6.73,6.37
2026-05-28,6.31,6.86,6.57
2026-05-27,6.42,6.96,6.75
2026-05-26,6.42,6.96,6.75
2026-05-25,6.46,7.0,6.85
2026-05-24,6.46,7.0,6.85
2026-05-23,6.46,7.0,6.85
2026-05-22,6.48,7.06,6.91
2026-05-21,6.5,7.06,6.97
2026-05-20,6.52,7.07,7.0
2026-05-19,6.42,6.97,6.85
2026-05-18,6.37,6.93,6.82
2026-05-17,6.37,6.93,6.82
2026-05-16,6.37,6.93,6.82
2026-05-15,6.39,6.98,6.85
2026-05-14,6.39,6.98,6.92
2026-05-13,6.3,6.81,6.93
2026-05-12,6.3,6.81,6.93
2026-05-11,6.35,6.85,7.03
2026-05-10,6.35,6.85,7.03
2026-05-09,6.35,6.85,7.03
2026-05-08,6.41,6.9,7.17
2026-05-07,6.46,6.95,7.26
2026-05-06,6.49,6.99,7.31
2026-05-05,6.49,6.99,7.31
2026-05-04,6.28,6.77,7.14
2026-05-03,6.28,6.77,7.14
2026-05-02,6.28,6.77,7.14
2026-05-01,6.28,6.77,7.14
2026-04-30,6.28,6.77,7.14
2026-04-29,6.23,6.73,7.22
2026-04-28,6.03,6.62,6.79
2026-04-27,6.03,6.62,6.79
2026-04-26,6.03,6.62,6.79
2026-04-25,6.03,6.62,6.79
2026-04-24,6.03,6.62,6.79
2026-04-23,5.97,6.56,6.71
2026-04-22,5.95,6.5,6.75
2026-04-21,6.0,6.54,6.92
2026-04-20,6.03,6.57,7.07
2026-04-19,6.03,6.57,7.07
2026-04-18,6.03,6.57,7.07
2026-04-17,6.04,6.59,7.18
2026-04-16,6.08,6.61,7.23
2026-04-15,6.16,6.7,7.41
2026-04-14,6.12,6.7,7.58
2026-04-13,6.14,6.73,7.68
2026-04-12,6.14,6.73,7.68
2026-04-11,6.14,6.73,7.68
2026-04-10,6.17,6.77,7.66
2026-04-09,6.27,6.88,7.83
2026-04-08,6.21,6.82,7.87
2026-04-07,6.21,6.82,7.87
2026-04-06,6.21,6.82,7.87
2026-04-05,6.21,6.82,7.87
2026-04-04,6.21,6.82,7.87
2026-04-03,6.19,6.8,7.64
2026-04-02,6.23,6.84,7.65
2026-04-01,6.21,6.81,7.66
2026-03-31,6.16,6.76,7.6
